,cluster,name,label
754,0,GO_0060271,GO
755,0,GO_0060284,GO
756,0,GO_0060316,GO
757,0,GO_0060378,GO
758,0,GO_0060816,GO
759,0,GO_0060956,GO
760,0,GO_0060968,GO
761,0,GO_0061003,GO
762,0,GO_0061037,GO
763,0,GO_0061179,GO
764,0,GO_0061365,GO
765,0,GO_0061402,GO
766,0,GO_0061448,GO
767,0,GO_0061512,GO
768,0,GO_0061623,GO
769,0,GO_0065003,GO
770,0,GO_0065007,GO
771,0,GO_0065008,GO
772,0,GO_0065009,GO
773,0,GO_0070175,GO
774,0,GO_0070207,GO
775,0,GO_0070208,GO
776,0,GO_0070374,GO
777,0,GO_0070409,GO
778,0,GO_0070584,GO
779,0,GO_0070588,GO
781,0,GO_0070779,GO
782,0,GO_0070887,GO
784,0,GO_0070988,GO
786,0,GO_0071071,GO
787,0,GO_0071157,GO
789,0,GO_0071229,GO
790,0,GO_0071277,GO
791,0,GO_0071310,GO
792,0,GO_0071356,GO
793,0,GO_0071459,GO
794,0,GO_0071477,GO
795,0,GO_0071494,GO
796,0,GO_0071586,GO
797,0,GO_0071599,GO
798,0,GO_0071702,GO
799,0,GO_0071704,GO
800,0,GO_0071705,GO
802,0,GO_0071800,GO
803,0,GO_0071840,GO
804,0,GO_0071911,GO
805,0,GO_0072045,GO
806,0,GO_0072107,GO
807,0,GO_0072126,GO
808,0,GO_0072207,GO
809,0,GO_0072659,GO
810,0,GO_0072676,GO
812,0,GO_0072757,GO
814,0,GO_0080090,GO
815,0,GO_0080111,GO
816,0,GO_0090031,GO
817,0,GO_0090090,GO
818,0,GO_0090128,GO
819,0,GO_0090201,GO
820,0,GO_0090208,GO
821,0,GO_0090259,GO
822,0,GO_0090263,GO
823,0,GO_0090279,GO
824,0,GO_0090297,GO
825,0,GO_0090304,GO
826,0,GO_0090307,GO
827,0,GO_0097084,GO
829,0,GO_0097428,GO
830,0,GO_0097466,GO
832,0,GO_0098711,GO
833,0,GO_0098719,GO
838,0,GO_1900037,GO
839,0,GO_1900111,GO
840,0,GO_1900152,GO
841,0,GO_1901135,GO
842,0,GO_1901360,GO
843,0,GO_1901361,GO
844,0,GO_1901362,GO
846,0,GO_1901385,GO
847,0,GO_1901564,GO
848,0,GO_1901565,GO
849,0,GO_1901566,GO
850,0,GO_1901575,GO
851,0,GO_1901576,GO
852,0,GO_1901605,GO
853,0,GO_1901615,GO
854,0,GO_1901673,GO
855,0,GO_1902041,GO
856,0,GO_1902093,GO
858,0,GO_1902531,GO
859,0,GO_1903078,GO
860,0,GO_1903208,GO
861,0,GO_1903209,GO
862,0,GO_1903457,GO
863,0,GO_1903670,GO
864,0,GO_1903935,GO
865,0,GO_1904060,GO
866,0,GO_1904251,GO
867,0,GO_1904382,GO
868,0,GO_1905075,GO
869,0,GO_1905333,GO
870,0,GO_1905515,GO
871,0,GO_1905564,GO
872,0,GO_1990001,GO
873,0,GO_1990266,GO
875,0,GO_2000026,GO
876,0,GO_2000035,GO
877,0,GO_2000058,GO
878,0,GO_2000112,GO
879,0,GO_2000425,GO
880,0,GO_2000601,GO
881,0,GO_2000627,GO
1,1,GO_0000049,GO
4,1,GO_0000166,GO
15,1,GO_0000774,GO
21,1,GO_0000976,GO
22,1,GO_0000981,GO
23,1,GO_0000990,GO
24,1,GO_0001077,GO
25,1,GO_0001152,GO
26,1,GO_0001162,GO
46,1,GO_0002094,GO
61,1,GO_0003674,GO
62,1,GO_0003676,GO
63,1,GO_0003677,GO
64,1,GO_0003682,GO
65,1,GO_0003684,GO
66,1,GO_0003700,GO
67,1,GO_0003713,GO
68,1,GO_0003724,GO
69,1,GO_0003725,GO
70,1,GO_0003729,GO
71,1,GO_0003824,GO
72,1,GO_0003899,GO
73,1,GO_0003995,GO
74,1,GO_0004003,GO
75,1,GO_0004004,GO
76,1,GO_0004129,GO
77,1,GO_0004176,GO
78,1,GO_0004181,GO
79,1,GO_0004396,GO
80,1,GO_0004407,GO
81,1,GO_0004435,GO
82,1,GO_0004518,GO
83,1,GO_0004520,GO
84,1,GO_0004551,GO
85,1,GO_0004567,GO
86,1,GO_0004674,GO
87,1,GO_0004679,GO
88,1,GO_0004689,GO
89,1,GO_0004699,GO
90,1,GO_0004722,GO
91,1,GO_0004812,GO
92,1,GO_0004842,GO
93,1,GO_0004843,GO
94,1,GO_0004866,GO
95,1,GO_0004871,GO
96,1,GO_0004888,GO
97,1,GO_0004896,GO
98,1,GO_0004941,GO
99,1,GO_0005057,GO
100,1,GO_0005085,GO
101,1,GO_0005102,GO
102,1,GO_0005184,GO
103,1,GO_0005185,GO
104,1,GO_0005215,GO
105,1,GO_0005225,GO
106,1,GO_0005227,GO
107,1,GO_0005244,GO
108,1,GO_0005247,GO
109,1,GO_0005254,GO
110,1,GO_0005267,GO
111,1,GO_0005272,GO
112,1,GO_0005319,GO
113,1,GO_0005432,GO
114,1,GO_0005488,GO
115,1,GO_0005509,GO
116,1,GO_0005515,GO
117,1,GO_0005524,GO
118,1,GO_0005525,GO
238,1,GO_0008047,GO
240,1,GO_0008092,GO
241,1,GO_0008094,GO
245,1,GO_0008234,GO
246,1,GO_0008237,GO
248,1,GO_0008271,GO
249,1,GO_0008324,GO
256,1,GO_0008381,GO
257,1,GO_0008384,GO
258,1,GO_0008395,GO
259,1,GO_0008408,GO
260,1,GO_0008420,GO
261,1,GO_0008483,GO
262,1,GO_0008484,GO
263,1,GO_0008508,GO
264,1,GO_0008509,GO
265,1,GO_0008565,GO
266,1,GO_0008574,GO
268,1,GO_0008641,GO
270,1,GO_0008853,GO
271,1,GO_0009020,GO
273,1,GO_0009055,GO
318,1,GO_0015075,GO
319,1,GO_0015137,GO
320,1,GO_0015141,GO
321,1,GO_0015165,GO
322,1,GO_0015171,GO
323,1,GO_0015191,GO
324,1,GO_0015220,GO
325,1,GO_0015267,GO
326,1,GO_0015318,GO
327,1,GO_0015378,GO
340,1,GO_0016286,GO
341,1,GO_0016301,GO
343,1,GO_0016429,GO
344,1,GO_0016462,GO
347,1,GO_0016491,GO
352,1,GO_0016594,GO
353,1,GO_0016597,GO
356,1,GO_0016639,GO
357,1,GO_0016706,GO
358,1,GO_0016740,GO
359,1,GO_0016741,GO
360,1,GO_0016743,GO
361,1,GO_0016746,GO
362,1,GO_0016757,GO
363,1,GO_0016758,GO
364,1,GO_0016772,GO
365,1,GO_0016773,GO
366,1,GO_0016787,GO
367,1,GO_0016788,GO
368,1,GO_0016791,GO
369,1,GO_0016798,GO
370,1,GO_0016810,GO
371,1,GO_0016811,GO
372,1,GO_0016813,GO
373,1,GO_0016817,GO
374,1,GO_0016818,GO
375,1,GO_0016829,GO
376,1,GO_0016853,GO
377,1,GO_0016874,GO
378,1,GO_0016887,GO
380,1,GO_0017111,GO
381,1,GO_0017112,GO
384,1,GO_0018024,GO
388,1,GO_0018271,GO
389,1,GO_0019001,GO
390,1,GO_0019003,GO
